review_id,user_id,nickname,review_text,rating
REV00001,1234,开心123,真的商品质量很好，非常满意！,5
REV00002,5678,快乐_abc,物流速度快，包装完好。,4
REV00003,9012,小明王,差强人意，有些小问题。,3
REV00004,4321,小红李,退货很方便，客服态度好。,4
REV00005,8765,购物达人,价格实惠，值得购买。,5
REV00006,1234,user888,一般般，没有想象的好。,3
REV00007,5678,member666,推荐购买，物超所值！,5
REV00008,9012,customer-xyz,太差了，不会再买。,1
REV00009,4321,vip王,已经推荐给朋友了。,4
REV00010,8765,超级买家,商品质量很好，非常满意！,5
REV00011,1234,开心123,物流速度快，包装完好。,4
REV00012,5678,快乐_abc,差强人意，有些小问题。,3
REV00013,9012,小明张,退货很方便，客服态度好。,4
REV00014,4321,小红李,价格实惠，值得购买。,5
REV00015,8765,购物达人,一般般，没有想象的好。,3
